    height          e         M-        Mx-         M+        Mx+          Q          M        Mac         Mx 
4.0000e+04 1.5200e+02 9.4308e+05 6.5166e+08 1.1499e+02 6.5260e+08 9.4445e+06 8.2130e+22 0.0000e+00 0.0000e+00 
4.1000e+04 1.8150e+02 9.7863e+05 6.3795e+08 1.3731e+02 6.3892e+08 9.8015e+06 7.1380e+22 0.0000e+00 0.0000e+00 
4.2000e+04 2.1680e+02 1.0182e+06 6.2429e+08 1.6402e+02 6.2531e+08 1.0199e+07 6.2180e+22 0.0000e+00 0.0000e+00 
4.3000e+04 2.5880e+02 1.0613e+06 6.1061e+08 1.9580e+02 6.1167e+08 1.0632e+07 5.4300e+22 0.0000e+00 0.0000e+00 
4.4000e+04 3.0910e+02 1.1097e+06 5.9740e+08 2.3386e+02 5.9851e+08 1.1118e+07 4.7540e+22 0.0000e+00 0.0000e+00 
4.5000e+04 3.6900e+02 1.1626e+06 5.8450e+08 2.7918e+02 5.8566e+08 1.1650e+07 4.1730e+22 0.0000e+00 0.0000e+00 
4.6000e+04 4.4070e+02 1.2213e+06 5.7207e+08 3.3343e+02 5.7329e+08 1.2240e+07 3.6710e+22 0.0000e+00 0.0000e+00 
4.7000e+04 5.2620e+02 1.2857e+06 5.6008e+08 3.9813e+02 5.6136e+08 1.2887e+07 3.2370e+22 0.0000e+00 0.0000e+00 
4.8000e+04 6.2830e+02 1.3557e+06 5.4833e+08 4.7539e+02 5.4969e+08 1.3591e+07 2.8590e+22 0.0000e+00 0.0000e+00 
4.9000e+04 7.5020e+02 1.4310e+06 5.3665e+08 5.6764e+02 5.3808e+08 1.4350e+07 2.5280e+22 0.0000e+00 0.0000e+00 
5.0000e+04 8.9580e+02 1.5117e+06 5.2494e+08 6.7783e+02 5.2645e+08 1.5163e+07 2.2370e+22 0.0000e+00 0.0000e+00 
5.1000e+04 1.0700e+03 1.5995e+06 5.1358e+08 8.0967e+02 5.1518e+08 1.6048e+07 1.9820e+22 0.0000e+00 0.0000e+00 
5.2000e+04 1.2770e+03 1.6899e+06 5.0145e+08 9.6636e+02 5.0314e+08 1.6960e+07 1.7550e+22 0.0000e+00 0.0000e+00 
5.3000e+04 1.5250e+03 1.7876e+06 4.8958e+08 1.1541e+03 4.9137e+08 1.7946e+07 1.5550e+22 0.0000e+00 0.0000e+00 
5.4000e+04 1.8210e+03 1.8897e+06 4.7730e+08 1.3782e+03 4.7919e+08 1.8978e+07 1.3770e+22 0.0000e+00 0.0000e+00 
5.5000e+04 2.1740e+03 1.9948e+06 4.6440e+08 1.6455e+03 4.6639e+08 2.0043e+07 1.2180e+22 0.0000e+00 0.0000e+00 
5.6000e+04 2.5960e+03 2.1056e+06 4.5141e+08 1.9652e+03 4.5351e+08 2.1165e+07 1.0770e+22 0.0000e+00 0.0000e+00 
